text,occurrence_count
health care services,13.0
forest rescue operations,13.0
sex abuse victim,13.0
ongoing ambulance case,13.0
cocoa powder,13.0
likely voters,13.0
akple,12.0
photojournalism,12.0
special purpose vehicle,12.0
long jump,12.0
award ceremony,12.0
large crowd,12.0
bad weather,12.0
fashion designer,12.0
district court,12.0
old bonds,12.0
sore throat,12.0
backseat,12.0
evangelist,12.0
pensioner bondholders,12.0
star school,12.0
former prime minister,12.0
original panel,12.0
different political parties,12.0
certain items,12.0
security infrastructure,12.0
local content production,12.0
fast food,12.0
late politician,12.0
additional staff,12.0
nine players,12.0
large family,12.0
cliffs,12.0
skin diseases,12.0
dental care,12.0
presidential planes,12.0
new boats,12.0
sole buyer,12.0
building systems,12.0
youth internship scheme,12.0
key platform,12.0
voter data,12.0
one engine,12.0
beach volleyball,12.0
body aches,12.0
tropical depression,12.0
food assistance,12.0
single platform,12.0
two-day training workshop,12.0
catastrophic flooding,12.0
energy-efficient technologies,12.0
book industry,12.0
separate interviews,12.0
patient data,12.0
certain constituencies,12.0
financial literacy programs,12.0
underside,12.0
thiamine,12.0
progesterone,12.0
underprivileged students,12.0
cocoa output,12.0
chlamydia,12.0
working-age population,12.0
viable businesses,12.0
youngest man,12.0
clean energy technologies,12.0
professional game,12.0
next generations,12.0
corporate teams,12.0
large section,12.0
anonymous source,12.0
baby number,12.0
university degree,12.0
paupers,12.0
radio broadcasting,12.0
migrant arrivals,12.0
digital learning tools,12.0
maternity clothes,12.0
potential victims,12.0
opposite lane,12.0
flood water,12.0
full documentary,12.0
high table,12.0
multiple surgeries,12.0
mobile money providers,12.0
mammograms,12.0
two males,12.0
certain products,12.0
laboratory managers,12.0
mumps,12.0
maiden goal,12.0
televised statement,12.0
mounting losses,12.0
customer funds,12.0
protest walk,12.0
wake up call,12.0
foreign loans,12.0
long walks,12.0
happy birthday,12.0
radiographers,12.0
property developers,12.0
improved prison feeding,12.0
new acting premier,12.0
proper handwashing,12.0
the-line,12.0
pandemic hit,12.0
subject matter experts,12.0
respiratory issues,12.0
social protection systems,12.0
ozone layer,12.0
youth organisations,12.0
wrong foot,12.0
right products,12.0
aspiring homeowners,12.0
elephant fraternity,12.0
three representatives,12.0
one charge,12.0
mushroom,12.0
netball,12.0
water production,12.0
rubber plantations,12.0
luxury hotels,12.0
inquiry centres,12.0
local organizations,12.0
electronic money,12.0
lowest fuel price,12.0
euro area,12.0
vast swathes,12.0
three other persons,12.0
next election cycle,12.0
accident site,12.0
household toilets,12.0
quality housing,12.0
hedge funds,12.0
philosophers,12.0
beacons,12.0
scents,12.0
cybersecurity experts,12.0
public libraries,12.0
severe headaches,12.0
toffees,12.0
hospital premises,12.0
long season,12.0
